,date,province,total,admitted,deaths
129,2020-03-23,Utrecht,416,83,6
130,2020-03-23,Zeeland,55,26,3
131,2020-03-23,Zuid-Holland,653,180,10
132,2020-03-24,Drenthe,56,12,2
133,2020-03-24,Flevoland,73,42,3
134,2020-03-24,Friesland,42,20,1
135,2020-03-24,Gelderland,595,197,27
136,2020-03-24,Groningen,69,5,0
137,2020-03-24,Limburg,687,248,60
138,2020-03-24,Noord-Brabant,1739,366,127
139,2020-03-24,Noord-Holland,738,192,18
140,2020-03-24,Overijssel,252,66,12
141,2020-03-24,Utrecht,479,96,10
142,2020-03-24,Zeeland,63,30,4
143,2020-03-24,Zuid-Holland,767,221,12
144,2020-03-25,Drenthe,61,14,2
145,2020-03-25,Flevoland,84,52,4
146,2020-03-25,Friesland,52,25,1
147,2020-03-25,Gelderland,701,228,33
148,2020-03-25,Groningen,83,10,0
149,2020-03-25,Limburg,782,301,68
150,2020-03-25,Noord-Brabant,1916,456,175
151,2020-03-25,Noord-Holland,868,255,24
152,2020-03-25,Overijssel,321,73,15
153,2020-03-25,Utrecht,572,106,13
154,2020-03-25,Zeeland,77,41,5
155,2020-03-25,Zuid-Holland,895,275,16
156,2020-03-26,Drenthe,73,18,2
157,2020-03-26,Flevoland,94,54,5
158,2020-03-26,Friesland,70,35,2
159,2020-03-26,Gelderland,826,273,45
160,2020-03-26,Groningen,113,21,1
161,2020-03-26,Limburg,876,338,84
162,2020-03-26,Noord-Brabant,2163,516,201
163,2020-03-26,Noord-Holland,1027,300,31
164,2020-03-26,Overijssel,393,97,19
165,2020-03-26,Utrecht,655,128,18
166,2020-03-26,Zeeland,91,47,5
167,2020-03-26,Zuid-Holland,1050,324,21
168,2020-03-27,Drenthe,82,21,3
169,2020-03-27,Flevoland,107,60,5
170,2020-03-27,Friesland,82,44,3
171,2020-03-27,Gelderland,958,322,55
172,2020-03-27,Groningen,124,24,1
173,2020-03-27,Limburg,967,368,100
174,2020-03-27,Noord-Brabant,2490,566,253
175,2020-03-27,Noord-Holland,1232,381,41
176,2020-03-27,Overijssel,453,113,23
177,2020-03-27,Utrecht,742,144,28
178,2020-03-27,Zeeland,109,55,5
