,date,province,total,admitted,deaths
129,2020-03-09,Utrecht,0,0,0
130,2020-03-09,Zeeland,0,0,0
131,2020-03-09,Zuid-Holland,7,0,0
132,2020-03-10,Drenthe,5,0,0
133,2020-03-10,Flevoland,0,0,0
134,2020-03-10,Fryslân,2,0,0
135,2020-03-10,Gelderland,4,0,0
136,2020-03-10,Groningen,0,0,0
137,2020-03-10,Limburg,17,4,0
138,2020-03-10,Noord-Brabant,45,6,0
139,2020-03-10,Noord-Holland,11,0,0
140,2020-03-10,Overijssel,1,0,0
141,2020-03-10,Utrecht,28,1,0
142,2020-03-10,Zeeland,1,0,0
143,2020-03-10,Zuid-Holland,16,1,0
144,2020-03-11,Drenthe,0,0,0
145,2020-03-11,Flevoland,1,0,0
146,2020-03-11,Fryslân,1,1,0
147,2020-03-11,Gelderland,7,0,0
148,2020-03-11,Groningen,0,0,0
149,2020-03-11,Limburg,16,2,0
150,2020-03-11,Noord-Brabant,64,11,1
151,2020-03-11,Noord-Holland,5,0,0
152,2020-03-11,Overijssel,2,0,0
153,2020-03-11,Utrecht,15,1,0
154,2020-03-11,Zeeland,2,0,0
155,2020-03-11,Zuid-Holland,10,0,0
156,2020-03-12,Drenthe,2,0,0
157,2020-03-12,Flevoland,0,0,0
158,2020-03-12,Fryslân,4,1,0
159,2020-03-12,Gelderland,12,3,0
160,2020-03-12,Groningen,3,1,0
161,2020-03-12,Limburg,5,3,0
162,2020-03-12,Noord-Brabant,54,12,0
163,2020-03-12,Noord-Holland,8,0,0
164,2020-03-12,Overijssel,3,0,0
165,2020-03-12,Utrecht,22,2,0
166,2020-03-12,Zeeland,3,0,0
167,2020-03-12,Zuid-Holland,11,1,0
168,2020-03-13,Drenthe,0,0,0
169,2020-03-13,Flevoland,2,1,0
170,2020-03-13,Fryslân,1,0,0
171,2020-03-13,Gelderland,11,1,0
172,2020-03-13,Groningen,1,0,0
173,2020-03-13,Limburg,13,3,2
174,2020-03-13,Noord-Brabant,57,13,1
175,2020-03-13,Noord-Holland,13,1,0
176,2020-03-13,Overijssel,2,0,0
177,2020-03-13,Utrecht,3,0,0
178,2020-03-13,Zeeland,0,0,0
179,2020-03-13,Zuid-Holland,10,2,0
180,2020-03-14,Drenthe,2,0,0
181,2020-03-14,Flevoland,9,1,0
182,2020-03-14,Fryslân,1,0,0
183,2020-03-14,Gelderland,18,7,1
184,2020-03-14,Groningen,1,0,0
185,2020-03-14,Limburg,35,5,0
186,2020-03-14,Noord-Brabant,91,9,2
187,2020-03-14,Noord-Holland,33,1,0
188,2020-03-14,Overijssel,5,1,0
189,2020-03-14,Utrecht,5,0,0
190,2020-03-14,Zeeland,1,1,0
191,2020-03-14,Zuid-Holland,18,2,0
192,2020-03-15,Drenthe,0,0,0
193,2020-03-15,Flevoland,3,0,0
194,2020-03-15,Fryslân,2,0,0
195,2020-03-15,Gelderland,24,4,0
196,2020-03-15,Groningen,5,1,0
197,2020-03-15,Limburg,24,7,0
198,2020-03-15,Noord-Brabant,54,7,7
199,2020-03-15,Noord-Holland,10,1,0
200,2020-03-15,Overijssel,6,0,0
201,2020-03-15,Utrecht,24,2,0
202,2020-03-15,Zeeland,2,1,0
203,2020-03-15,Zuid-Holland,19,4,0
204,2020-03-16,Drenthe,1,1,0
205,2020-03-16,Flevoland,2,2,0
206,2020-03-16,Fryslân,3,1,0
207,2020-03-16,Gelderland,31,9,0
208,2020-03-16,Groningen,1,0,0
209,2020-03-16,Limburg,21,6,1
210,2020-03-16,Noord-Brabant,111,8,3
211,2020-03-16,Noord-Holland,27,0,0
212,2020-03-16,Overijssel,7,1,0
213,2020-03-16,Utrecht,31,4,0
214,2020-03-16,Zeeland,5,5,0
215,2020-03-16,Zuid-Holland,30,4,0
216,2020-03-17,Drenthe,2,0,0
217,2020-03-17,Flevoland,2,1,0
218,2020-03-17,Fryslân,1,0,0
219,2020-03-17,Gelderland,40,10,0
220,2020-03-17,Groningen,0,0,0
221,2020-03-17,Limburg,47,14,5
222,2020-03-17,Noord-Brabant,73,44,12
223,2020-03-17,Noord-Holland,36,14,1
224,2020-03-17,Overijssel,9,4,0
225,2020-03-17,Utrecht,34,3,0
226,2020-03-17,Zeeland,3,2,0
227,2020-03-17,Zuid-Holland,41,13,0
228,2020-03-18,Drenthe,5,0,0
229,2020-03-18,Flevoland,6,3,0
230,2020-03-18,Fryslân,4,3,0
231,2020-03-18,Gelderland,40,7,0
232,2020-03-18,Groningen,4,0,0
233,2020-03-18,Limburg,63,20,4
234,2020-03-18,Noord-Brabant,98,29,10
235,2020-03-18,Noord-Holland,28,5,0
236,2020-03-18,Overijssel,14,3,1
237,2020-03-18,Utrecht,24,2,1
238,2020-03-18,Zeeland,6,2,0
239,2020-03-18,Zuid-Holland,55,16,0
240,2020-03-19,Drenthe,3,0,1
241,2020-03-19,Flevoland,6,3,0
242,2020-03-19,Fryslân,2,0,1
243,2020-03-19,Gelderland,33,3,1
244,2020-03-19,Groningen,14,1,0
245,2020-03-19,Limburg,36,16,6
246,2020-03-19,Noord-Brabant,110,30,11
247,2020-03-19,Noord-Holland,68,11,1
248,2020-03-19,Overijssel,16,0,0
249,2020-03-19,Utrecht,36,2,0
250,2020-03-19,Zeeland,5,4,0
251,2020-03-19,Zuid-Holland,67,6,0
252,2020-03-20,Drenthe,6,1,0
253,2020-03-20,Flevoland,5,2,0
254,2020-03-20,Fryslân,1,0,0
255,2020-03-20,Gelderland,65,18,3
256,2020-03-20,Groningen,5,0,0
257,2020-03-20,Limburg,66,29,6
258,2020-03-20,Noord-Brabant,138,27,13
259,2020-03-20,Noord-Holland,88,28,2
260,2020-03-20,Overijssel,27,4,2
261,2020-03-20,Utrecht,34,13,1
262,2020-03-20,Zeeland,6,2,0
263,2020-03-20,Zuid-Holland,92,26,2
264,2020-03-21,Drenthe,6,1,0
265,2020-03-21,Flevoland,11,13,0
266,2020-03-21,Fryslân,11,7,0
267,2020-03-21,Gelderland,63,33,2
268,2020-03-21,Groningen,14,1,0
269,2020-03-21,Limburg,51,25,2
270,2020-03-21,Noord-Brabant,168,21,19
271,2020-03-21,Noord-Holland,106,32,1
272,2020-03-21,Overijssel,62,9,1
