,Date,Rt_low,Rt_avg,Rt_up,population
57,2020-04-14,0.54,0.74,0.96,hosp
58,2020-04-15,0.56,0.76,0.98,hosp
59,2020-04-16,0.56,0.77,1.0,hosp
60,2020-04-17,0.56,0.77,1.0,hosp
61,2020-04-18,0.53,0.75,1.0,hosp
62,2020-04-19,0.48,0.72,0.98,hosp
63,2020-04-20,0.51,0.7000000000000001,0.91,hosp
64,2020-04-21,0.48,0.72,0.98,hosp
65,2020-04-22,0.47000000000000003,0.74,1.03,hosp
66,2020-04-23,0.5,0.77,1.05,hosp
67,2020-04-24,0.46,0.77,1.12,hosp
68,2020-04-25,0.51,0.77,1.05,hosp
69,2020-04-26,0.44,0.75,1.11,hosp
70,2020-04-27,0.45,0.73,1.03,hosp
71,2020-04-28,0.43,0.72,1.03,hosp
72,2020-04-29,0.39,0.71,1.08,hosp
73,2020-04-30,0.36,0.6900000000000001,1.05,hosp
74,2020-05-01,0.39,0.6900000000000001,1.04,hosp
75,2020-05-02,0.35000000000000003,0.72,1.15,hosp
76,2020-05-03,0.36,0.76,1.21,hosp
77,2020-05-04,0.39,0.8,1.27,hosp
78,2020-05-05,0.4,0.8300000000000001,1.33,hosp
79,2020-05-06,0.38,0.8300000000000001,1.38,hosp
80,2020-05-07,0.36,0.8200000000000001,1.33,hosp
81,2020-05-08,0.42,0.8200000000000001,1.28,hosp
82,2020-05-09,0.30000000000000004,0.81,1.44,hosp
83,2020-05-10,0.30000000000000004,0.78,1.3599999999999999,hosp
84,2020-05-11,0.38,0.77,1.25,hosp
85,2020-05-12,0.30000000000000004,0.78,1.4,hosp
86,2020-05-13,0.30000000000000004,0.8,1.44,hosp
87,2020-05-14,0.33,0.84,1.44,hosp
88,2020-05-15,0.33,0.91,1.56,hosp
89,2020-05-16,0.33,1.0,1.8599999999999999,hosp
90,2020-05-17,0.33,1.08,2.0,hosp
91,2020-05-18,0.5,1.13,1.8900000000000001,hosp
92,2020-05-19,0.25,1.08,2.2,hosp
93,2020-05-20,0.4,0.96,1.6,hosp
94,2020-05-21,0.36,0.88,1.45,hosp
95,2020-05-22,0.36,0.88,1.45,hosp
96,2020-05-23,0.2,0.88,1.8,hosp
97,2020-05-24,0.0,0.8,1.75,hosp
98,2020-05-25,0.33,0.73,1.21,hosp
99,2020-05-26,0.0,0.68,1.4,hosp
100,2020-05-27,0.0,0.56,1.4,hosp
101,2020-05-28,0.09,0.48,0.92,hosp
102,2020-05-29,0.0,0.48,1.25,hosp
103,2020-05-30,0.0,0.52,1.2,hosp
104,2020-05-31,0.0,0.58,1.99,hosp
105,2020-06-01,0.0,0.67,1.6600000000000001,hosp
106,2020-06-02,0.0,0.8200000000000001,1.99,hosp
107,2020-06-03,0.0,0.96,2.98,hosp
108,2020-06-04,0.0,1.01,2.9699999999999998,hosp
109,2020-06-05,0.0,1.05,2.31,hosp
110,2020-06-06,0.0,1.1400000000000001,2.95,hosp
111,2020-06-07,0.0,1.26,2.93,hosp
112,2020-06-08,0.0,1.3,3.88,hosp
113,2020-06-09,0.0,1.18,3.86,hosp
114,2020-06-10,0.0,0.96,2.23,hosp
115,2020-06-11,0.0,0.8,1.8900000000000001,hosp
116,2020-06-12,0.0,0.75,1.87,hosp
117,2020-06-13,0.58,0.73,0.89,testpos
118,2020-06-14,0.58,0.72,0.87,testpos
119,2020-06-15,0.6000000000000001,0.74,0.89,testpos
